Brand, Product-Name, Shipping-Charge
MSI,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti GAMING X 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,$4.99 Shipping
GIGABYTE,GIGABYTE GeForce GTX 1050 DirectX 12 GV-N1050OC-2GD 2GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,$4.99 Shipping
GIGABYTE,GIGABYTE Radeon RX 560 DirectX 12 GV-RX560GAMING OC-4GD REV2.0 4GB 128-Bit GDDR5 ATX Video Card,$3.99 Shipping
GIGABYTE,GIGABYTE AORUS XTREME GeForce GTX 1060 6G REV 2.0| GV-N1060AORUS-X6GDR2,$4.99 Shipping
PowerColor,PowerColor Radeon RX 570 DirectX 12 AXRX 570 8GBD5-DM 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support ATX Video Card - Brown Box (Only Comes with Driver + Manual) - OEM,$4.99 Shipping
EVGA,EVGA GeForce GTX 1050 Ti SC GAMING| 04G-P4-6253-KR| 4GB GDDR5| DX12 OSD Support (PXOC),$4.99 Shipping
Sapphire Tech,SAPPHIRE NITRO+ Radeon RX 580 DirectX 12 100411NT+4G-2L 4GB 256-Bit GDDR5 CrossFireX Support ATX Video Card w/ Backplate (UEFI)| SAMSUNG MEMORY,Free Shipping
ASUS,ASUS ROG Strix Radeon RX 570 O4G Gaming OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card (ROG-STRIX-RX570-O4G-GAMING),$4.99 Shipping
MSI,MSI Radeon R7 250 DirectX 12 R7 250 2GD3 OC 2GB 128-Bit DDR3 PCI Express 3.0 HDCP Ready CrossFireX Support Video Card,$3.99 Shipping
EVGA,EVGA GeForce GTX 1050 GAMING| 02G-P4-6150-KR| 2GB GDDR5| DX12 OSD Support (PXOC),$4.99 Shipping
EVGA,EVGA GeForce 210 DirectX 10.1 01G-P3-1313-KR 1GB 64-Bit DDR3 PCI Express 2.0 HDCP Ready Low Profile Ready Video Card,$2.99 Shipping
MSI,MSI Radeon RX Vega 56 DirectX 12 RX Vega 56 Air Boost 8G OC 8GB 2048-Bit HBM2 PCI Express x16 HDCP Ready CrossFireX Support ATX Video Card,$4.99 Shipping
Sapphire Tech,SAPPHIRE Radeon RX Vega 56 DirectX 12 100420NT+SR 8GB 2048-Bit HBM2 PCI Express 3.0 ATX Video Card,$4.99 Shipping
PowerColor,PowerColor RED DRAGON Radeon RX 570 DirectX 12 AXRX 570 4GBD5-3DHD/OC 4GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support ATX Video Card,$4.99 Shipping
EVGA,EVGA GeForce GT 1030 DirectX 12 02G-P4-6338-KR 2GB 64-Bit GDDR5 PCI Express 3.0 Video Card,$3.99 Shipping
ASUS,ASUS ROG Radeon RX Vega 56 STRIX-RXVEGA56-O8G-GAMING 8GB 2048-Bit HBM2 PCI Express 3.0 HDCP Ready Video Card,$4.99 Shipping
PowerColor,PowerColor RED DEVIL Radeon RX Vega 56 DirectX 12 AXRX VEGA 56 8GBHBM2-2D2H/OC 8GB 2048-Bit HBM2 PCI Express 3.0 CrossFireX Support ATX Video Card,$4.99 Shipping
ASUS,ASUS GeForce GTX 1050 CERBERUS-GTX1050-O2G 2GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,$3.99 Shipping
MSI,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti GAMING 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,$3.99 Shipping
ZOTAC,ZOTAC GeForce GTX 1050 Ti DirectX 12 ZT-P10510A-10L 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,$4.99 Shipping
EVGA,EVGA GeForce GTX 1050 SC GAMING| 02G-P4-6152-KR| 2GB GDDR5| DX12 OSD Support (PXOC),Free Shipping
ASUS,ASUS ROG Radeon RX Vega 64 STRIX-RXVEGA64-O8G-GAMING 8GB 2048-Bit HBM2 PCI Express 3.0 HDCP Ready Video Card,$4.99 Shipping
EVGA,EVGA GeForce GTX 1050 FTW GAMING ACX 3.0| 02G-P4-6157-KR| 2GB GDDR5| DX12 OSD Support (PXOC),$4.99 Shipping
ZOTAC,ZOTAC GeForce GTX 1050 DirectX 12 ZT-P10500A-10L 2GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,$4.99 Shipping
ZOTAC,ZOTAC GeForce GT 730 DirectX 12 (feature level 11_0) ZT-71115-20L 4GB 64-Bit DDR3 PCI Express 2.0 Zone Edition Video Card,$4.99 Shipping
XFX,XFX Radeon RX 560 DirectX 12 RX-560P4SFG5 4GB 128-Bit DDR5 PCI Express 3.0 Video Card,$4.99 Shipping
XFX,XFX Radeon R7 240 R7-240A-2TS4 2GB 128-Bit DDR3 PCI Express 3.0 Video Card,$2.99 Shipping
XFX,XFX Radeon RX 550 DirectX 12 RX-550P4LFG5 4GB 128-Bit DDR5 PCI Express 3.0 Video Card,$3.99 Shipping
GIGABYTE,GIGABYTE GeForce GTX 1050 DirectX 12 GV-N1050WF2OC-2GD 2GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Cards,$4.99 Shipping
ASUS,ASUS GeForce GTX 1060 DUAL-GTX1060-O6G 6GB 192-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,Free Shipping
